profile,apid_hex,type,seq,len_total,mic,sent_bytes
HK_TLM_TINY,0x07F,TM,221,70,,70
CFDP_META,0x0B3,TC,222,144,,144
HK_TLM_TINY,0x07F,TM,222,70,,70
CFDP_META,0x0B3,TC,223,144,,144
HK_TLM_TINY,0x07F,TM,223,70,,70
CFDP_META,0x0B3,TC,224,144,,144
HK_TLM_TINY,0x07F,TM,224,70,,70
CFDP_META,0x0B3,TC,225,144,,144
HK_TLM_TINY,0x07F,TM,225,70,,70
CFDP_META,0x0B3,TC,226,144,,144
HK_TLM_TINY,0x07F,TM,226,70,,70
CFDP_META,0x0B3,TC,227,144,,144
HK_TLM_TINY,0x07F,TM,227,70,,70
CFDP_META,0x0B3,TC,228,144,,144
HK_TLM_TINY,0x07F,TM,228,70,,70
CFDP_META,0x0B3,TC,229,144,,144
HK_TLM_TINY,0x07F,TM,229,70,,70
CFDP_META,0x0B3,TC,230,144,,144
HK_TLM_TINY,0x07F,TM,230,70,,70
CFDP_META,0x0B3,TC,231,144,,144
HK_TLM_TINY,0x07F,TM,231,70,,70
CFDP_META,0x0B3,TC,232,144,,144
HK_TLM_TINY,0x07F,TM,232,70,,70
CFDP_META,0x0B3,TC,233,144,,144
HK_TLM_TINY,0x07F,TM,233,70,,70
CFDP_META,0x0B3,TC,234,144,,144
HK_TLM_TINY,0x07F,TM,234,70,,70
CFDP_META,0x0B3,TC,235,144,,144
HK_TLM_TINY,0x07F,TM,235,70,,70
CFDP_META,0x0B3,TC,236,144,,144
HK_TLM_TINY,0x07F,TM,236,70,,70
CFDP_META,0x0B3,TC,237,144,,144
HK_TLM_TINY,0x07F,TM,237,70,,70
CFDP_META,0x0B3,TC,238,144,,144
HK_TLM_TINY,0x07F,TM,238,70,,70
CFDP_META,0x0B3,TC,239,144,,144
HK_TLM_TINY,0x07F,TM,239,70,,70
CFDP_META,0x0B3,TC,240,144,,144
HK_TLM_TINY,0x07F,TM,240,70,,70
CFDP_META,0x0B3,TC,241,144,,144
HK_TLM_TINY,0x07F,TM,241,70,,70
CFDP_META,0x0B3,TC,242,144,,144
HK_TLM_TINY,0x07F,TM,242,70,,70
CFDP_META,0x0B3,TC,243,144,,144
HK_TLM_TINY,0x07F,TM,243,70,,70
CFDP_META,0x0B3,TC,244,144,,144
HK_TLM_TINY,0x07F,TM,244,70,,70
CFDP_META,0x0B3,TC,245,144,,144
HK_TLM_TINY,0x07F,TM,245,70,,70
CFDP_META,0x0B3,TC,246,144,,144
HK_TLM_TINY,0x07F,TM,246,70,,70
CFDP_META,0x0B3,TC,247,144,,144
HK_TLM_TINY,0x07F,TM,247,70,,70
CFDP_META,0x0B3,TC,248,144,,144
HK_TLM_TINY,0x07F,TM,248,70,,70
CFDP_META,0x0B3,TC,249,144,,144
HK_TLM_TINY,0x07F,TM,249,70,,70
CFDP_META,0x0B3,TC,250,144,,144
HK_TLM_TINY,0x07F,TM,250,70,,70
CFDP_META,0x0B3,TC,251,144,,144
HK_TLM_TINY,0x07F,TM,251,70,,70
CFDP_META,0x0B3,TC,252,144,,144
HK_TLM_TINY,0x07F,TM,252,70,,70
CFDP_META,0x0B3,TC,253,144,,144
HK_TLM_TINY,0x07F,TM,253,70,,70
CFDP_META,0x0B3,TC,254,144,,144
HK_TLM_TINY,0x07F,TM,254,70,,70
CFDP_META,0x0B3,TC,255,144,,144
HK_TLM_TINY,0x07F,TM,255,70,,70
CFDP_META,0x0B3,TC,256,144,,144
HK_TLM_TINY,0x07F,TM,256,70,,70
CFDP_META,0x0B3,TC,257,144,,144
HK_TLM_TINY,0x07F,TM,257,70,,70
CFDP_META,0x0B3,TC,258,144,,144
HK_TLM_TINY,0x07F,TM,258,70,,70
CFDP_META,0x0B3,TC,259,144,,144
HK_TLM_TINY,0x07F,TM,259,70,,70
CFDP_META,0x0B3,TC,260,144,,144
HK_TLM_TINY,0x07F,TM,260,70,,70
CFDP_META,0x0B3,TC,261,144,,144
HK_TLM_TINY,0x07F,TM,261,70,,70
CFDP_META,0x0B3,TC,262,144,,144
HK_TLM_TINY,0x07F,TM,262,70,,70
CFDP_META,0x0B3,TC,263,144,,144
HK_TLM_TINY,0x07F,TM,263,70,,70
CFDP_META,0x0B3,TC,264,144,,144
